0.00,0.00,0.00,0.00
0.00,78.06,0.00,31.22
20.82,62.45,52.04,10.41
0.00,0.00,0.00,0.00
# ====
0.00,0.00,0.00,0.00
0.00,72.86,114.49,5.20
36.43,36.43,166.53,5.20
0.00,0.00,0.00,0.00
# ====
0.00,0.00,0.00,0.00
0.00,36.43,5.20,36.43
0.00,78.06,31.22,0.00
0.00,0.00,0.00,0.00
# ====
0.00,0.00,0.00,0.00
0.00,52.04,31.22,41.63
5.20,83.27,67.65,0.00
0.00,0.00,0.00,0.00
# ====
0.00,31.22,0.00,0.00
10.41,161.33,0.00,0.00
10.41,104.08,104.08,67.65
0.00,0.00,0.00,10.41
# ====
0.00,0.00,26.02,0.00
0.00,36.43,20.82,41.63
26.02,83.27,62.45,10.41
0.00,36.43,0.00,0.00
# ====
0.00,72.86,0.00,0.00
0.00,130.10,0.00,0.00
0.00,156.12,135.31,72.86
0.00,26.02,0.00,0.00
# ====
0.00,0.00,52.04,0.00
5.20,135.31,161.33,78.06
83.27,119.69,119.69,20.82
0.00,52.04,20.82,0.00
# ====
0.00,0.00,0.00,0.00
10.41,67.65,31.22,0.00
5.20,88.47,83.27,46.84
0.00,0.00,0.00,0.00
# ====
0.00,5.20,41.63,0.00
31.22,109.29,78.06,62.45
57.24,62.45,36.43,57.24
0.00,72.86,67.65,0.00
# ====
