000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,074,009,000
000,108,000,000,000,000,000,000,000,165,019,000
000,192,000,000,000,000,000,000,052,198,000,000
041,206,000,000,000,000,000,000,113,148,000,000
079,173,000,000,000,000,003,066,229,080,000,000
077,207,103,126,167,183,179,111,244,010,000,000
000,074,088,088,038,000,000,067,216,000,000,000
000,000,000,000,000,000,000,084,155,000,000,000
000,000,000,000,000,000,000,084,174,000,000,000
000,000,000,000,000,000,000,084,203,000,000,000
000,000,000,000,000,000,000,024,101,000,000,000
# 
# 
000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,035,194,000
000,000,000,000,000,000,000,000,000,206,128,000
000,000,000,000,000,179,019,000,075,197,011,000
000,000,000,000,032,230,022,002,177,136,000,000
000,000,000,011,183,113,000,129,208,000,000,000
000,000,024,213,244,206,114,233,039,000,000,000
000,000,187,144,028,169,252,251,106,000,000,000
000,000,035,000,003,175,139,021,003,000,000,000
000,000,000,000,093,215,007,000,000,000,000,000
000,000,000,000,211,060,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000
# 
# 
