0.00,0.00,0.00,0.00
10.41,119.69,93.67,0.00
15.61,135.31,130.10,78.06
0.00,0.00,0.00,0.00
# ====
0.00,0.00,0.00,0.00
0.00,5.20,119.69,67.65
67.65,166.53,67.65,0.00
0.00,0.00,0.00,0.00
# ====
0.00,0.00,0.00,0.00
41.63,166.53,130.10,57.24
83.27,135.31,124.90,98.88
0.00,0.00,26.02,5.20
# ====
0.00,0.00,0.00,0.00
15.61,98.88,31.22,93.67
15.61,176.94,119.69,5.20
0.00,0.00,0.00,0.00
# ====
0.00,0.00,0.00,0.00
31.22,130.10,31.22,0.00
5.20,72.86,124.90,46.84
0.00,0.00,0.00,0.00
# ====
0.00,0.00,0.00,0.00
0.00,10.41,145.71,62.45
46.84,156.12,46.84,0.00
0.00,0.00,0.00,0.00
# ====
0.00,0.00,0.00,0.00
72.86,26.02,0.00,62.45
20.82,124.90,109.29,72.86
0.00,0.00,0.00,0.00
# ====
0.00,0.00,0.00,0.00
0.00,5.20,114.49,67.65
62.45,182.14,88.47,0.00
0.00,0.00,0.00,0.00
# ====
0.00,0.00,0.00,0.00
41.63,78.06,46.84,15.61
0.00,36.43,88.47,36.43
0.00,0.00,0.00,0.00
# ====
0.00,0.00,26.02,5.20
5.20,119.69,98.88,98.88
57.24,130.10,83.27,62.45
0.00,72.86,62.45,0.00
# ====
