000,000,000,000,000,084,229,174,000,000
000,000,000,002,084,246,236,205,109,000
000,000,000,113,252,202,246,102,210,000
000,000,062,244,180,021,035,000,250,053
000,016,233,093,011,000,000,000,252,097
000,130,201,000,000,000,000,000,253,086
000,168,119,000,000,000,001,131,183,003
000,169,092,000,000,028,176,146,000,000
000,168,224,130,191,231,130,014,000,000
000,063,221,252,165,036,000,000,000,000
# 
# 
000,000,000,000,000,000,091,253,094,001
000,000,000,000,020,140,235,232,251,015
000,000,000,106,234,253,252,095,252,015
000,000,106,247,162,207,213,068,251,015
000,079,249,138,010,089,028,003,222,015
011,188,126,000,000,000,000,003,223,015
095,251,091,000,000,000,000,092,243,013
095,252,086,000,000,003,116,235,079,000
016,196,236,200,191,223,194,040,000,000
000,006,119,241,201,114,003,000,000,000
# 
# 
000,000,000,000,000,077,126,094,000,000
000,000,000,000,062,231,251,251,141,000
000,000,000,000,176,252,212,225,180,000
000,000,000,162,252,158,000,180,180,000
000,000,000,213,251,074,030,220,180,000
000,000,045,253,160,005,108,252,135,000
000,000,161,252,107,002,182,212,019,000
000,000,180,252,043,133,251,128,000,000
000,000,180,253,187,253,175,000,000,000
000,000,109,252,251,179,029,000,000,000
# 
# 
000,000,000,000,000,036,245,129,000,000
000,000,000,000,019,216,251,218,019,000
000,000,000,036,146,248,252,252,168,000
000,000,006,117,247,220,074,200,236,013
000,000,154,252,196,000,012,225,252,049
000,037,226,206,006,000,012,226,180,006
000,076,251,205,006,008,068,231,038,000
000,095,252,158,055,145,252,116,000,000
000,082,251,252,251,249,187,015,000,000
000,005,167,252,167,074,000,000,000,000
# 
# 
000,000,000,000,011,089,127,127,070,000
000,000,000,062,211,253,253,253,242,042
000,000,132,248,253,253,241,208,253,058
000,057,238,247,130,071,096,134,253,058
000,181,253,090,000,000,000,142,253,058
029,234,172,002,000,000,000,127,253,058
059,253,077,000,000,000,000,078,253,058
096,253,077,000,000,000,030,217,215,002
059,253,151,017,010,070,212,246,092,000
020,227,253,253,253,253,213,026,000,000
# 
# 
000,000,000,014,081,079,000,000,000,000
000,000,025,226,253,249,231,198,049,000
000,003,196,253,253,234,238,253,215,003
000,049,253,253,220,033,025,166,243,027
000,183,249,149,004,000,000,000,216,182
000,231,216,000,000,000,000,000,120,231
000,231,193,000,000,000,000,000,069,230
000,220,243,071,000,000,000,000,174,219
000,049,235,243,137,014,000,094,247,050
000,000,049,175,245,248,246,248,083,000
# 
# 
000,000,000,000,000,049,126,031,000,000
000,000,000,014,140,232,251,212,029,000
000,000,000,172,251,252,251,252,207,000
000,000,094,252,252,253,252,253,245,046
000,011,186,247,165,252,130,051,251,154
000,145,253,156,000,035,002,036,252,129
095,247,245,221,037,000,004,084,249,117
162,231,058,071,045,000,086,252,136,000
162,213,036,000,000,156,236,090,000,000
095,227,243,234,234,210,052,000,000,000
# 
# 
000,000,000,056,177,247,120,000,000,000
000,007,155,191,049,021,247,155,028,000
000,191,134,000,000,000,099,092,198,056
070,170,000,000,000,000,000,000,028,219
127,099,000,000,000,000,000,000,000,092
113,120,000,000,000,000,000,000,000,043
035,198,000,000,000,000,000,000,000,056
000,170,148,000,000,000,000,000,000,127
000,007,155,162,064,000,000,028,134,176
000,000,000,071,163,212,212,191,099,007
# 
# 
000,000,000,000,114,126,116,017,000,000
000,000,000,083,243,250,251,227,017,000
000,000,073,243,252,251,252,220,025,000
000,000,045,220,251,197,133,250,165,000
000,000,076,251,178,007,075,251,176,000
000,023,204,227,047,000,096,250,155,000
000,015,232,195,010,000,045,251,197,000
000,052,243,104,000,000,126,250,024,000
000,030,238,243,136,156,240,213,012,000
000,000,078,227,251,250,251,144,000,000
# 
# 
000,000,000,000,000,038,117,079,003,000
000,000,000,000,079,247,253,253,129,000
000,000,000,000,169,253,253,253,106,000
000,000,000,079,249,239,172,253,097,000
000,000,067,228,150,049,021,237,149,000
000,007,209,164,000,000,000,148,179,000
000,102,231,017,000,000,000,151,149,000
000,180,146,000,000,000,081,241,063,000
000,144,193,073,029,139,238,087,000,000
000,057,231,253,253,218,077,000,000,000
# 
# 
000,000,000,000,007,112,127,127,079,000
000,000,000,006,160,253,249,234,156,000
000,000,005,130,253,250,176,113,156,000
000,000,040,244,250,145,000,192,156,000
000,000,062,253,175,000,018,235,155,000
000,000,149,217,011,000,026,253,069,000
000,069,252,089,000,000,052,241,025,000
000,123,194,001,000,009,180,212,000,000
000,137,226,144,144,219,237,033,000,000
000,056,233,253,253,234,075,000,000,000
# 
# 
000,000,003,129,240,231,078,000,000,000
000,000,138,229,123,244,234,118,000,000
000,030,242,113,192,112,090,238,106,000
000,115,240,010,078,009,000,101,243,049
000,144,188,000,000,000,000,002,210,119
000,197,150,000,000,000,000,000,150,144
000,161,192,000,000,000,000,004,190,129
000,111,233,008,000,000,000,072,236,043
000,062,253,084,000,006,109,241,108,000
000,002,168,248,182,238,240,086,000,000
# 
# 
000,000,000,000,046,201,253,079,000,000
000,000,000,055,239,253,253,210,016,000
000,000,002,181,253,198,178,253,097,000
000,000,088,253,223,040,102,253,097,000
000,002,183,247,082,000,048,249,097,000
000,032,253,178,000,000,000,187,097,000
000,098,253,119,000,000,013,224,079,000
000,098,253,057,000,034,161,193,006,000
000,098,253,203,195,245,253,055,000,000
000,040,231,253,253,210,055,000,000,000
# 
# 
