000,032,086,000
032,190,055,029
025,144,025,110
000,040,103,019
# 
# 
000,001,017,000
000,090,098,000
000,013,095,000
000,049,013,000
# 
# 
000,021,000,000
000,072,056,000
000,068,115,000
000,000,028,000
# 
# 
000,000,043,000
000,001,118,000
000,086,035,000
000,047,000,000
# 
# 
000,044,000,000
002,057,044,000
000,018,069,000
000,000,071,006
# 
# 
000,005,053,006
000,081,127,026
000,116,108,000
000,092,029,000
# 
# 
000,000,000,000
002,119,125,004
000,069,079,000
000,004,051,000
# 
# 
000,000,039,000
000,002,120,000
000,109,027,000
000,047,000,000
# 
# 
000,004,096,000
000,000,152,002
060,153,120,008
023,003,000,000
# 
# 
000,001,053,000
000,088,058,006
000,150,180,020
000,014,017,000
# 
# 
