000,003,025,002,000,000
000,038,166,106,000,000
000,000,048,125,000,000
000,000,000,143,032,000
000,081,149,111,000,000
000,000,000,000,000,000
# 
# 
000,000,013,053,000,000
000,000,127,028,000,000
000,032,129,062,034,000
000,077,157,208,024,000
000,000,040,044,000,000
000,000,000,000,000,000
# 
# 
000,000,000,001,029,000
000,021,133,096,016,000
000,033,130,029,000,000
000,006,000,113,012,000
000,040,106,128,005,000
000,000,000,000,000,000
# 
# 
000,000,000,000,000,000
000,024,140,108,110,000
000,020,156,128,018,000
000,050,101,134,002,000
000,052,131,118,000,000
000,000,000,000,000,000
# 
# 
000,000,000,000,000,000
000,040,130,089,000,000
000,111,002,183,013,000
000,048,132,161,000,000
000,000,000,123,000,000
000,000,000,000,000,000
# 
# 
000,000,000,000,000,000
000,000,045,049,099,000
000,025,149,055,000,000
000,092,026,101,000,000
000,014,070,013,000,000
000,000,000,000,000,000
# 
# 
000,000,000,000,000,000
000,000,080,093,000,000
000,044,093,110,000,000
000,029,094,105,000,000
000,000,072,038,000,000
000,000,000,000,000,000
# 
# 
000,000,000,000,000,000
000,030,113,099,058,000
000,117,006,146,043,000
000,000,059,127,000,000
000,019,170,004,000,000
000,027,034,000,000,000
# 
# 
000,000,000,000,000,000
000,000,065,033,041,000
000,075,026,093,015,000
000,033,076,133,018,000
000,000,037,044,000,000
000,000,006,001,000,000
# 
# 
000,000,012,073,021,000
000,000,104,089,101,000
000,004,024,153,026,000
023,164,200,196,000,000
026,115,033,074,028,000
000,000,000,000,000,000
# 
# 
